City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Faanui,PF,79.97,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
212,Minggang,CN,79.34,light rain,32.4586,114.0486,Yindu Hotel
213,Plettenberg Bay,ZA,74.01,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
219,Shimanovsk,RU,80.31,overcast clouds,52.0,127.7,Гостиница Домашняя
222,Puerto Escondido,MX,78.17,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
225,Avarua,CK,77.45,overcast clouds,-21.2078,-159.775,Paradise Inn
228,Tahe,CN,79.84,overcast clouds,52.3333,124.7333,塔河宾馆
231,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
234,Akdagmadeni,TR,70.47,clear sky,39.6603,35.8836,Hanedan Otel
242,Pemangkat,ID,84.31,overcast clouds,1.1667,108.9667,Ramah Kost KITA
243,Angoche,MZ,73.06,scattered clouds,-16.2325,39.9086,Guest House HESADA
245,Yingcheng,CN,74.66,light rain,30.95,113.55,Yingcheng Hotel
247,Samarai,PG,80.85,overcast clouds,-10.6167,150.6667,Nuli Sapi
250,Neyshabur,IR,77.23,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
252,Fayaoue,NC,77.04,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
254,Puerto Baquerizo Moreno,EC,70.93,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
256,Fuyu,CN,71.53,moderate rain,45.1833,124.8167,Education Hostel
273,Wamba,NG,75.74,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
274,Colares,PT,71.8,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
276,Talnakh,RU,74.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
277,Ferrandina,IT,77.05,clear sky,40.5012,16.4547,Hotel degli Ulivi
278,Mattru,SL,73.49,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
280,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
282,Zeya,RU,82.49,overcast clouds,53.75,127.2667,Kapital Inn
283,Tortoli,IT,76.82,clear sky,39.9256,9.6572,Hotel La Bitta
284,Netivot,IL,83.61,clear sky,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
285,Sakaiminato,JP,73.33,scattered clouds,35.55,133.2333,Italian pasley
286,Miragoane,HT,79.57,broken clouds,18.4423,-73.0876,Wj hotel
293,Acarau,BR,74.35,overcast clouds,-2.8856,-40.12,castelo pizzaria
295,Shabo,UA,75.7,overcast clouds,46.1326,30.386,отель кафе АПЕЛЬСИН
299,Kyshtovka,RU,71.26,light rain,56.555,76.6271,Uyutnaya Mini-Hotel
301,Pundaguitan,PH,84.38,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
307,Nova Odesa,UA,81.3,broken clouds,47.3078,31.7851,У Саши
312,Hopewell,US,70.45,overcast clouds,37.3043,-77.2872,Best Western Plus Hopewell Fort Lee
313,Gunjur,GM,75.27,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
314,Mae Sai,TH,78.93,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
316,Kavieng,PG,83.08,light rain,-2.5744,150.7967,Nusa Island Retreat
318,Inirida,CO,71.71,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
323,Nanchang,CN,71.28,overcast clouds,28.6833,115.8833,Ruidu Hotel
327,Bunia,CD,72.03,light rain,1.5667,30.25,Gold Star International Hotel
330,Hasaki,JP,70.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
335,Kribi,CM,78.46,light rain,2.95,9.9167,Hotel Tara Plage
336,Hangu,CN,77.04,overcast clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
337,Moroni,KM,78.24,light rain,-11.7022,43.2551,Hotel Les Arcades
338,Tanabe,JP,83.41,few clouds,33.7333,135.3667,美吉屋旅館
339,Fort-Shevchenko,KZ,77.7,clear sky,44.5086,50.263,Oasis hotel Bautino
344,Galle,LK,81.59,overcast clouds,6.0367,80.217,Amangalla
345,Lorengau,PG,82.49,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
346,Bambanglipuro,ID,83.55,overcast clouds,-7.95,110.2833,Puri Brata
349,Dongzhen,CN,84.94,light rain,22.3797,110.9389,茂名中汇时尚酒店
350,Iralaya,HN,77.23,overcast clouds,15.0,-83.2333,Iglesia morava renovada
354,Cabra,ES,77.67,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
355,Malabor,PH,84.27,overcast clouds,11.2729,122.0466,Kasa Raya Inn
359,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
360,Moberly,US,75.18,broken clouds,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
361,Bako,ET,75.15,scattered clouds,5.7833,36.5667,Goh Hotel
363,Takoradi,GH,77.09,overcast clouds,4.8845,-1.7554,Raybow International Hotel
364,Fereydun Kenar,IR,74.95,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
365,Dunmore Town,BS,81.5,few clouds,25.5,-76.65,Coral Sands Hotel
368,Krasnoselkup,RU,80.67,few clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
370,Bobrovytsya,UA,74.16,clear sky,50.75,31.3833,"Готель ""Трубіж"""
371,Le Vauclin,MQ,80.65,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
372,Katobu,ID,77.04,heavy intensity rain,-4.9408,122.5276,La Ode Husein
375,Myitkyina,MM,81.88,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
376,Almeirim,BR,71.55,few clouds,-1.5233,-52.5817,Ricácio Hotel
378,Fukue,JP,75.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
387,Faya,SA,84.31,few clouds,18.3851,42.4509,املاك خالد الشعشوع
388,Kasongo,CD,79.36,overcast clouds,-4.45,26.6667,Guest Hôtel
392,Oktyabrskoye,RU,78.94,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
394,Kupang,ID,82.81,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
395,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
398,Karratha,AU,79.05,broken clouds,-20.7377,116.8463,ibis Styles Karratha
400,Namatanai,PG,83.66,light rain,-3.6667,152.4333,Seagulls Inn Namatani
401,Monrovia,LR,76.73,light rain,6.3005,-10.7969,Sunset Inn
405,Jacareacanga,BR,71.67,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
406,Ozinki,RU,71.91,clear sky,51.1786,49.6769,Korolevskiy Dvor
408,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
409,Bonthe,SL,78.26,light rain,7.5264,-12.505,Bonthe Holiday Village
412,Kavaratti,IN,83.28,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
416,Khani,GE,71.17,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
417,Aktau,KZ,81.18,clear sky,43.65,51.2,Silk Way Hotel
419,Praya,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
425,Dutse,NG,79.41,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
426,Lotofaga,WS,76.78,light rain,-13.9764,-171.8578,Sataoa Beach Fales
427,Salair,RU,80.65,overcast clouds,54.2312,85.7972,Гостевой Дом на Заречной
428,Orlik,RU,77.52,overcast clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
434,Ambulu,ID,83.26,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
