City_ID,City,Country,Lat,Lng,Max Temp,Humidity (%),Cloudiness (%),Wind Speed,Current Description
78,Preston,GB,53.7667,-2.7167,58.62,88,32,15.17,scattered clouds
79,Denpasar,ID,-8.65,115.2167,87.46,74,20,13.8,few clouds
80,Fort Nelson,CA,58.8053,-122.7002,56.79,54,75,2.3,broken clouds
81,Prince Rupert,CA,54.3161,-130.3201,49.69,91,100,14.97,mist
82,Lodwar,KE,3.1191,35.5973,84.38,47,9,12.24,clear sky
83,Bella Union,UY,-30.2752,-57.6007,39.33,52,3,5.64,clear sky
84,Porto Santo,PT,33.072,-16.3415,64.78,82,40,10.36,scattered clouds
85,Lebu,CL,-37.6167,-73.65,46.06,84,98,6.85,overcast clouds
86,Marawi,PH,7.9986,124.2928,78.39,77,79,5.17,broken clouds
87,Constitucion,CL,-35.3333,-72.4167,48.52,72,66,1.81,broken clouds
88,San Policarpo,PH,12.1791,125.5072,85.28,69,100,9.24,overcast clouds
89,Tiarei,PF,-17.5333,-149.3333,77.02,79,47,23.4,light rain
90,Kodiak,US,57.79,-152.4072,56.71,62,0,6.91,clear sky
91,Dromolaxia,CY,34.8761,33.586,81.64,72,20,11.99,few clouds
92,Bubaque,GW,11.2833,-15.8333,80.08,80,82,10.38,broken clouds
93,Hami,CN,42.8,93.45,95.65,5,0,6.53,clear sky
94,Hilo,US,19.7297,-155.09,75.27,91,100,6.91,overcast clouds
95,Praia,CV,14.9215,-23.5087,72.14,83,20,5.75,few clouds
96,Wenling,CN,28.3669,121.36,68.09,96,100,5.79,light rain
97,Pavilosta,LV,56.8879,21.1859,60.71,85,99,10.47,overcast clouds
98,Alappuzha,IN,9.49,76.3264,82.2,74,98,7.45,overcast clouds
99,Korla,CN,41.7597,86.1469,94.75,9,3,5.7,clear sky
100,New Norfolk,AU,-42.7826,147.0587,45.9,81,92,1.99,overcast clouds
101,Erzin,TR,36.9559,36.2,81.77,44,0,8.37,clear sky
102,Sloboda,RU,51.1421,40.3021,74.52,64,34,5.82,scattered clouds
103,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,2.3,broken clouds
