City_ID,City,Country,Lat,Lng,Max Temp,Humidity (%),Cloudiness (%),Wind Speed,Current Description
79,Provideniya,RU,64.3833,-173.3,38.59,73,100,0.98,overcast clouds
80,New Norfolk,AU,-42.7826,147.0587,47.7,81,74,1.99,broken clouds
81,Olafsvik,IS,64.8945,-23.7142,46.42,85,100,7.56,overcast clouds
82,Lompoc,US,34.6391,-120.4579,75.34,82,0,8.05,clear sky
83,Razole,IN,16.4833,81.8333,97.0,43,87,5.39,overcast clouds
84,Kavieng,PG,-2.5744,150.7967,84.78,69,48,12.1,scattered clouds
85,Humaita,BR,-7.5061,-63.0208,68.83,86,100,2.3,overcast clouds
86,Faanui,PF,-16.4833,-151.75,79.74,75,10,14.36,moderate rain
87,Jumla,NP,29.2747,82.1838,71.04,46,76,4.38,broken clouds
88,Tuatapere,NZ,-46.1333,167.6833,42.48,94,95,6.82,overcast clouds
89,Hornepayne,CA,49.2138,-84.7705,42.8,83,94,4.97,overcast clouds
90,Mishan,CN,45.55,131.8833,78.51,40,2,5.46,clear sky
91,Souillac,MU,-20.5167,57.5167,70.18,88,75,11.5,light rain
92,Simao,CN,22.7886,100.9748,71.35,90,100,3.56,overcast clouds
93,Lagoa,PT,39.05,-27.9833,61.54,76,45,19.13,scattered clouds
94,Grindavik,IS,63.8424,-22.4338,48.67,87,75,4.61,broken clouds
95,Kafanchan,NG,9.5833,8.3,67.3,97,63,0.72,light rain
96,Tshikapa,CD,-6.4167,20.8,65.95,56,7,2.64,clear sky
97,Port Elizabeth,ZA,-33.918,25.5701,72.32,27,0,9.22,clear sky
98,Nantucket,US,41.2835,-70.0995,66.31,98,100,8.05,overcast clouds
99,Barrow,US,71.2906,-156.7887,33.82,75,100,12.66,overcast clouds
100,Dingle,PH,10.9995,122.6711,88.57,60,49,4.43,scattered clouds
101,Kathu,TH,7.9178,98.3332,85.82,99,100,5.46,overcast clouds
102,Codrington,AU,-38.2667,141.9667,54.41,73,100,14.61,overcast clouds
103,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,87,100,14.97,overcast clouds
104,Clyde River,CA,70.4692,-68.5914,30.43,100,100,5.75,overcast clouds
105,Rio Grande,BR,-32.035,-52.0986,46.94,60,9,21.32,clear sky
106,Dikson,RU,73.5069,80.5464,35.47,90,100,6.82,overcast clouds
107,Urucara,BR,-2.5364,-57.76,72.03,99,100,1.95,light rain
108,Puerto Ayora,EC,-0.7393,-90.3518,71.55,96,93,3.0,overcast clouds
109,Jamestown,US,42.097,-79.2353,64.71,94,100,6.4,overcast clouds
110,Yulara,AU,-25.2406,130.9889,62.04,33,4,9.57,clear sky
111,Ponta Do Sol,PT,32.6667,-17.1,66.13,75,0,2.57,clear sky
112,Lapeer,US,43.0514,-83.3188,66.2,72,100,0.0,overcast clouds
113,Nabire,ID,-3.3667,135.4833,83.97,70,57,5.41,broken clouds
114,Taoudenni,ML,22.6783,-3.9836,93.02,21,80,13.91,broken clouds
115,Kuminskiy,RU,58.6667,66.5667,58.17,90,99,5.46,overcast clouds
116,Takoradi,GH,4.8845,-1.7554,76.39,79,94,5.91,overcast clouds
117,Thompson,CA,55.7435,-97.8558,62.76,48,40,2.3,scattered clouds
118,Khatanga,RU,71.9667,102.5,60.37,39,47,9.1,scattered clouds
119,Sharjah,AE,25.3573,55.4033,84.49,54,0,6.91,clear sky
120,Sorland,NO,67.667,12.6934,49.86,95,100,6.46,overcast clouds
