City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2022-06-11 19:39:48,62.456,-114.3525,66.72,55,75,16.11
68,Beinamar,TD,2022-06-11 19:39:48,8.6698,15.3813,78.98,67,26,8.16
69,Bathsheba,BB,2022-06-11 19:39:48,13.2167,-59.5167,86.61,66,40,24.16
70,Patea,NZ,2022-06-11 19:39:48,-39.7583,174.4833,52.48,93,100,9.55
71,Houma,US,2022-06-11 19:39:04,29.5958,-90.7195,91.99,69,40,11.5
72,Bluff,NZ,2022-06-11 19:39:49,-46.6,168.3333,39.79,74,100,18.1
73,Bulgan,MN,2022-06-11 19:39:49,48.8125,103.5347,48.85,70,7,3.74
74,Seagoville,US,2022-06-11 19:37:03,32.6396,-96.5383,104.38,46,0,11.5
75,Cidreira,BR,2022-06-11 19:39:50,-30.1811,-50.2056,51.96,58,5,17.4
76,Tual,ID,2022-06-11 19:39:50,-5.6667,132.75,81.57,77,58,4.63
77,Sulangan,PH,2022-06-11 19:39:51,11.1373,123.7228,82.6,72,91,4.7
78,Sur,OM,2022-06-11 19:39:51,22.5667,59.5289,88.23,69,0,14.16
79,Tagusao,PH,2022-06-11 19:39:51,9.1924,117.8141,79.21,78,100,4.09
80,Sembakung,ID,2022-06-11 19:39:52,3.8167,117.25,72.39,99,65,1.79
81,Kindu,CD,2022-06-11 19:39:52,-2.95,25.95,71.94,81,27,2.3
82,Belyy Yar,RU,2022-06-11 19:36:52,53.6039,91.3903,58.89,67,0,0.0
83,Oyama,JP,2022-06-11 19:39:52,36.3,139.8,69.58,92,100,4.79
84,Vanavara,RU,2022-06-11 19:39:53,60.34,102.2797,45.66,73,59,4.14
85,Cabo San Lucas,MX,2022-06-11 19:36:24,22.8909,-109.9124,88.9,63,40,10.36
86,Ilulissat,GL,2022-06-11 19:36:08,69.2167,-51.1,37.42,70,20,9.22
87,Souillac,MU,2022-06-11 19:39:53,-20.5167,57.5167,73.78,73,75,14.97
88,Grindavik,IS,2022-06-11 19:40:54,63.8424,-22.4338,51.75,81,75,19.57
89,Tiznit,MA,2022-06-11 19:40:54,29.5833,-9.5,74.44,63,1,3.83
90,Norman Wells,CA,2022-06-11 19:40:54,65.282,-126.8329,51.84,82,100,14.97
91,Nador,MA,2022-06-11 19:40:55,35.174,-2.9287,75.27,68,0,5.75
92,Davila,PH,2022-06-11 19:40:55,18.4726,120.5763,82.02,78,100,4.72
93,Bhag,PK,2022-06-11 19:40:55,29.0415,67.8239,98.01,30,45,10.16
94,Aksu,CN,2022-06-11 19:40:56,41.1231,80.2644,75.38,33,57,10.0
95,Te Anau,NZ,2022-06-11 19:37:11,-45.4167,167.7167,39.54,97,100,4.79
96,Khonsa,IN,2022-06-11 19:40:56,27.0167,95.5667,68.02,98,100,3.09
97,Stokmarknes,NO,2022-06-11 19:40:56,68.5646,14.9108,48.18,87,100,2.3
98,Kirakira,SB,2022-06-11 19:40:57,-10.4544,161.9205,78.94,83,13,5.57
99,Castro,BR,2022-06-11 19:35:48,-24.7911,-50.0119,48.24,73,100,4.56
100,Aksarka,RU,2022-06-11 19:40:57,66.5606,67.7975,58.86,75,84,15.39
101,Nishihara,JP,2022-06-11 19:40:58,26.1842,127.7558,76.28,94,75,5.75
102,Kamenka,RU,2022-06-11 19:40:58,51.3223,42.7678,63.09,86,96,8.03
103,Jamestown,US,2022-06-11 19:32:36,42.097,-79.2353,75.06,31,72,5.01
104,Georgetown,MY,2022-06-11 19:36:26,5.4112,100.3354,78.73,99,40,5.75
105,Lorengau,PG,2022-06-11 19:40:58,-2.0226,147.2712,80.8,74,14,6.96
106,Silvan,TR,2022-06-11 19:40:59,38.1419,41.0081,77.29,28,98,2.04
107,Ahipara,NZ,2022-06-11 19:40:59,-35.1667,173.1667,58.77,89,100,19.75
108,Hilo,US,2022-06-11 19:37:07,19.7297,-155.09,83.28,94,100,5.75
109,Butaritari,KI,2022-06-11 19:40:59,3.0707,172.7902,81.55,77,64,12.57
110,Chapais,CA,2022-06-11 19:41:00,49.7834,-74.8492,62.38,53,100,2.39
111,Barrow,US,2022-06-11 19:41:00,71.2906,-156.7887,32.02,80,100,13.8
112,Grand Gaube,MU,2022-06-11 19:41:01,-20.0064,57.6608,73.8,77,83,4.0
113,Acapulco,MX,2022-06-11 19:41:01,16.8634,-99.8901,84.22,74,79,9.17
114,Khash,IR,2022-06-11 19:41:01,28.2211,61.2158,82.4,40,19,3.65
115,Jaguaribe,BR,2022-06-11 19:41:02,-5.8906,-38.6219,77.94,83,71,3.02
116,Mount Gambier,AU,2022-06-11 19:36:08,-37.8333,140.7667,50.7,79,100,9.93
117,Salalah,OM,2022-06-11 19:36:05,17.0151,54.0924,86.09,84,75,8.05
118,Provideniya,RU,2022-06-11 19:41:02,64.3833,-173.3,37.09,71,93,0.92
119,Chokurdakh,RU,2022-06-11 19:41:03,70.6333,147.9167,54.0,40,24,11.7
120,Kiama,AU,2022-06-11 19:41:03,-34.6833,150.8667,53.46,63,0,11.99
121,Erzin,TR,2022-06-11 19:41:04,36.9559,36.2,72.28,72,0,1.19
122,San Cristobal,VE,2022-06-11 19:37:14,7.7669,-72.225,77.18,54,100,7.09
123,Victoria,HK,2022-06-11 19:37:06,22.2855,114.1577,82.45,89,95,1.01
124,Nuristan,AF,2022-06-11 19:41:04,35.3,70.8333,44.13,54,30,7.16
125,Mayskiy,RU,2022-06-11 19:41:05,47.6931,40.1025,71.01,45,0,5.93
126,Srednekolymsk,RU,2022-06-11 19:41:05,67.45,153.6833,54.77,53,5,3.13
127,Guangyuan,CN,2022-06-11 19:41:06,32.442,105.823,67.14,95,100,3.06
128,Arman,RU,2022-06-11 19:41:06,59.7,150.1667,37.02,96,100,1.68
129,Forrest City,US,2022-06-11 19:42:06,35.0081,-90.7898,85.75,53,98,5.03
130,Avarua,CK,2022-06-11 19:36:07,-21.2078,-159.775,77.05,65,40,6.91
131,Warsaw,PL,2022-06-11 19:37:29,52.2298,21.0118,70.83,65,0,5.75
132,Chateauroux,FR,2022-06-11 19:42:07,46.8167,1.7,73.4,60,0,5.75
133,Hirara,JP,2022-06-11 19:42:07,24.8,125.2833,79.07,86,100,7.9
134,Esperance,AU,2022-06-11 19:37:16,-33.8667,121.9,57.38,74,74,16.78
135,Cayenne,GF,2022-06-11 19:42:08,4.9333,-52.3333,86.04,18,0,14.97
136,Cururupu,BR,2022-06-11 19:42:08,-1.8283,-44.8683,79.93,82,86,5.08
137,San Quintin,MX,2022-06-11 19:36:06,30.4833,-115.95,73.96,63,7,13.6
138,Gamba,GA,2022-06-11 19:42:08,-2.65,10.0,75.43,88,0,4.81
139,Balezino,RU,2022-06-11 19:42:09,57.9796,53.0106,43.68,73,61,12.12
140,Ponta Do Sol,PT,2022-06-11 19:42:09,32.6667,-17.1,73.71,81,0,0.94
141,Gizo,SB,2022-06-11 19:42:09,-8.103,156.8419,80.92,75,1,5.59
142,Viedma,AR,2022-06-11 19:42:10,-40.8135,-62.9967,59.04,26,37,9.46
143,Jiangyou,CN,2022-06-11 19:42:10,31.7667,104.7167,69.19,87,100,1.39
144,Kichera,RU,2022-06-11 19:42:10,55.9375,110.0997,51.17,71,35,1.54
145,Marawi,PH,2022-06-11 19:42:11,7.9986,124.2928,68.2,93,97,2.71
146,Hambantota,LK,2022-06-11 19:42:11,6.1241,81.1185,80.29,81,100,15.9
147,Caxito,AO,2022-06-11 19:42:11,-8.5785,13.6643,68.5,95,33,0.47
148,Sitka,US,2022-06-11 19:42:12,57.0531,-135.33,53.49,76,100,0.0
149,Comodoro Rivadavia,AR,2022-06-11 19:42:12,-45.8667,-67.5,62.46,20,0,5.75
150,Ribeira Grande,PT,2022-06-11 19:42:12,38.5167,-28.7,66.6,72,20,18.41
151,Bedele,ET,2022-06-11 19:42:13,8.456,36.353,54.36,94,45,1.05
152,Ishigaki,JP,2022-06-11 19:42:13,24.3448,124.1572,80.73,100,75,5.75
153,Dikson,RU,2022-06-11 19:42:13,73.5069,80.5464,43.11,72,100,17.74
154,Wanaka,NZ,2022-06-11 19:42:14,-44.7,169.15,39.11,87,100,5.91
155,Pouembout,NC,2022-06-11 19:42:14,-21.1333,164.9,70.93,92,99,5.41
156,Nikolskoye,RU,2022-06-11 19:42:14,59.7035,30.7861,66.09,76,28,3.8
157,Chuy,UY,2022-06-11 19:42:15,-33.6971,-53.4616,50.25,66,53,15.73
158,Chernyshevskiy,RU,2022-06-11 19:42:15,63.0128,112.4714,39.38,87,6,3.78
159,Haines Junction,CA,2022-06-11 19:35:55,60.7522,-137.5108,57.15,44,100,3.44
